latitude,longitude,chlorophyll_mgm3
14.7367,67.6151,0.5385
14.7367,67.6805,0.5308
14.7367,67.746,0.5299
14.7367,67.8115,0.4989
14.7367,67.877,0.4928
14.7367,67.9424,0.5479
14.7367,68.0734,0.4828
14.7367,68.1388,0.5874
14.7367,68.2043,0.5278
14.7367,68.2698,0.5601
14.7367,68.3353,0.5436
14.7367,68.4662,0.5078
14.7367,68.5972,0.6867
14.7367,68.6626,0.5201
14.7367,68.7281,0.5214
14.7367,68.7936,0.4777
14.7367,68.859,0.5151
14.7367,68.9245,0.4699
14.7367,68.99,0.4549
14.7367,69.1209,0.5908
14.7367,69.1864,0.4943
14.7367,69.2519,0.4668
14.7367,69.3174,0.5919
14.7367,69.3828,0.8288
14.7367,69.4483,0.6898
14.7367,69.5792,0.4573
14.7367,69.7102,0.5322
14.7367,69.9066,0.5061
14.7367,70.0376,0.4819
14.7367,70.234,0.5369
14.7367,70.2994,0.5081
14.7367,70.6268,0.383
14.7367,70.8232,0.4583
14.7367,70.8887,0.4584
14.6713,67.5496,1.7587
14.6713,67.6151,0.573
14.6713,67.6805,0.569
14.6713,67.746,0.5289
14.6713,67.8115,0.517
14.6713,67.877,0.5512
14.6713,68.0079,0.5975
14.6713,68.0734,0.6593
14.6713,68.2043,0.5335
14.6713,68.2698,0.6656
14.6713,68.3353,0.5036
14.6713,68.4662,0.7873
14.6713,68.5317,0.4525
14.6713,68.6626,0.7348
14.6713,68.7281,0.5
14.6713,68.7936,0.521
14.6713,68.859,0.4496
14.6713,68.9245,0.4458
14.6713,69.1209,1.0016
14.6713,69.2519,0.6623
14.6713,69.3174,0.5697
14.6713,69.4483,0.4973
14.6713,69.5138,0.482
14.6713,69.7102,0.6244
14.6713,69.9066,0.463
14.6713,70.3649,0.4974
14.6713,70.4304,0.4614
14.6713,70.4959,0.4803
14.6713,70.5613,0.6178
14.6058,67.5496,0.639
14.6058,67.6151,0.5444
14.6058,67.6805,0.5709
14.6058,67.746,0.5537
14.6058,67.8115,0.5278
14.6058,67.877,0.5082
14.6058,67.9424,0.6123
14.6058,68.0079,0.5604
14.6058,68.0734,0.6575
14.6058,68.1388,0.4854
14.6058,68.5972,0.4788
14.6058,68.6626,0.4769
14.6058,68.7281,0.4643
14.6058,68.7936,0.5486
14.6058,68.859,0.4613
14.6058,69.1864,0.4831
14.6058,69.2519,0.5284
14.6058,69.3174,0.5874
14.6058,69.4483,0.4681
14.6058,69.5138,0.5093
14.6058,69.5792,0.6156
14.6058,70.234,0.6189
14.6058,70.2994,0.5684
14.6058,70.8232,0.4954
14.5403,67.5496,0.617
14.5403,67.6151,0.5447
14.5403,67.6805,0.5464
14.5403,67.746,0.5738
14.5403,67.8115,0.5385
14.5403,67.877,0.58
14.5403,67.9424,0.4391
14.5403,68.0734,0.6321
14.5403,68.3353,0.4795
14.5403,68.4007,0.481
14.5403,68.4662,0.4487
14.5403,68.5317,0.4397
14.5403,68.5972,0.476
14.5403,68.6626,0.4928
14.5403,68.7281,0.4593
14.5403,68.7936,0.6761
14.5403,68.9245,0.6044
14.5403,68.99,0.457
14.5403,69.0555,0.4177
14.5403,69.1209,0.3977
14.5403,69.3174,0.7327
14.5403,69.3828,0.4664
14.5403,69.5138,0.5443
14.5403,69.6447,0.5526
14.4749,67.5496,0.6163
14.4749,67.6151,0.5276
14.4749,67.6805,0.5712
14.4749,67.746,0.645
14.4749,67.8115,0.5114
14.4749,67.877,0.5113
14.4749,67.9424,0.4813
14.4749,68.0079,0.5322
14.4749,68.0734,0.5728
14.4749,68.4007,0.603
14.4749,68.4662,0.4726
14.4749,68.5317,0.5169
14.4749,68.5972,0.6949
14.4749,68.859,0.4668
14.4749,68.9245,0.4313
14.4749,68.99,0.4082
14.4749,69.0555,0.4094
14.4749,69.1209,0.4554
14.4749,69.3828,0.6358
14.4749,70.0376,0.5918
14.4094,67.4841,3.0743
14.4094,67.5496,0.5163
14.4094,67.6151,0.506
14.4094,67.6805,0.541
14.4094,67.746,0.5108
14.4094,67.8115,0.5667
14.4094,67.877,0.505
14.4094,67.9424,0.405
14.4094,68.0079,0.4755
14.4094,68.0734,0.4283
14.4094,68.1388,0.474
14.4094,68.7281,0.6786
14.4094,68.7936,0.4685
14.4094,68.859,0.4071
14.4094,69.6447,0.4958
14.4094,70.0376,0.5276
14.4094,70.7578,0.4553
14.4094,70.8232,0.3652
14.3439,67.4841,2.3377
14.3439,67.5496,0.8254
14.3439,67.6151,0.5622
14.3439,67.6805,0.5669
14.3439,67.746,0.5074
14.3439,67.9424,0.5411
14.3439,68.0079,0.5848
14.3439,68.0734,0.5397
14.3439,68.3353,0.5228
14.3439,68.5317,0.6767
14.3439,68.5972,0.5679
14.3439,68.7281,0.5911
14.3439,68.7936,0.5015
14.3439,68.859,0.3982
